,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,kelso,46.1468,-122.9084,286.54,93,100,1.79,US,1697729796
335,culaba,11.6578,124.5425,300.28,85,56,2.99,PH,1697729797
336,vadso,70.0744,29.7487,273.64,74,75,6.17,NO,1697729797
337,urangan,-25.3,152.9,292.72,75,1,4.73,AU,1697729798
338,nehe,48.4833,124.8333,274.33,39,7,2.68,CN,1697729798
339,cucujaes,40.8741,-8.5069,291.96,68,75,4.63,PT,1697729799
340,hadibu,12.65,54.0333,301.29,76,79,2.98,YE,1697729800
341,ust-nera,64.5667,143.2,257.16,94,97,0.45,RU,1697729801
342,onguday,50.75,86.15,280.31,56,4,1.44,RU,1697729801
343,walvis bay,-22.9575,14.5053,293.68,60,0,6.17,NA,1697729802
344,hono,57.6897,11.6497,277.68,72,87,11.93,SE,1697729803
345,ouadda,8.0777,22.4007,295.07,91,99,0.94,CF,1697729804
346,bangassou,4.7413,22.8184,295.12,96,100,1.64,CF,1697729805
347,santana,-0.0583,-51.1817,307.25,59,20,5.66,BR,1697729805
348,hermanus,-34.4187,19.2345,293.68,72,100,6.66,ZA,1697729784
349,namtsy,62.7161,129.6658,265.95,86,89,3.37,RU,1697729807
350,irbit,57.6705,63.071,278.92,58,69,5.49,RU,1697729808
351,oued el abtal,35.456,0.6878,303.52,24,100,5.39,DZ,1697729808
352,al bawiti,28.3492,28.8659,298.66,26,0,3.28,EG,1697729809
353,nilsia,63.2,28.0833,274.33,85,32,2.64,FI,1697729810
354,la'ie,21.6477,-157.9253,299.13,74,16,0.45,US,1697729811
355,tan-tan,28.438,-11.1032,299.12,61,40,6.17,MA,1697729812
356,fort mcmurray,56.7268,-111.381,282.92,71,100,5.14,CA,1697729813
357,qorveh,35.1664,47.8045,288.24,38,95,3.68,IR,1697729813
358,djibouti,11.5,42.5,299.36,62,16,6.08,DJ,1697729814
359,recreo,-29.2818,-65.061,297.69,40,42,0.55,AR,1697729815
360,orcopampa,-15.2661,-72.3417,285.27,65,85,3.34,PE,1697729815
361,villard-bonnot,45.24,5.8902,295.08,73,100,2.81,FR,1697729816
362,kovdor,67.5662,30.4758,265.66,98,94,1.59,RU,1697729816
363,la ronge,55.1001,-105.2842,281.29,81,20,3.6,CA,1697729817
